id,title,brand,category,subcategory,year,num_reviews,price,rating,in_stock,description
B012SKEA1O,AFI Richmond Full Size Headboard with Attachable Charger in Walnut,AFI,Home & Kitchen,Furniture,2011,2176,9.8,4.5,true,"Make your bed the star of the show with the Richmond Headboard by Atlantic Furniture, a design that incorporates traditional styling and mission slats to create the perfect look for your room."
B01KBEY1P4,Child Ariel Ultra Prestige Wig,Disguise,"Clothing, Shoes & Jewelry",Costumes & Accessories,2016,158,22.8,4.3,true,About this item Synthetic Fiber Product Includes: One wig with faux starfish barrette Disney Princess - The Little Mermaid Officially Licensed Product
B018F3ZEYK,BRINDLE Waterproof Memory Foam Pet Bed - Removable and Washable Cover - 4 Inch Orthopedic Dog and Cat Bed - Fits Most Crates,Brindle,Pet Supplies,Cats,2015,6099,6.53,4.6,true,"Give your pet a soft, comfortable, and durable place to snooze. The BRINDLE Memory Foam Pet Bed features two inches of orthopedic memory foam layered on top of two inches of high-density support foam. The soft, conforming memory foam is super comfortable and helps relieve achy joints, arthritis, and hip dysplasia. Perfect as a bed for a dog or cat, this pet bed is made of durable material with a waterproof inner layer to protect from accidents, messes, and lingering smells. You can easily remove the zippered cover, and it is machine washable for easy care. The bed is available in three colors and three sizes, and a non-skid bottom helps keep the bed in place. There are a few things to consider when choosing a pet bed for your best friend, like where you will use the bed and how your pet sleeps. If you plan to use it in the kennel or in the car, you'll want to measure the exact space the bed will fill. Many BRINDLE pet beds are conveniently designed to fit standard kennel dimensions. If you are using the bed in an open space, like your living room or bedroom, consider your pet's sleep position. If your pet sleeps curled up, a small, cozy bed is ideal. If your pet stretches out, you may want to size up. A general rule is to measure your dog from nose to rump and add 10 inches."
B07QCCGWGS,Extra Deep Pocket Fitted Sheet - Single Fitted Sheet Only - Extra Deep Pockets Queen Size Sheets - Fits 18 in to 24 in Mattress - Extra Deep Queen Fitted Sheet - Deep Pockets That Actually Fits,CGK Unlimited,Home & Kitchen,Bedding,2019,35640,19.99,4.6,true,"About this item OTHER LIGHT GREY QUEEN SHEETS OFTEN PULL LOOSE FROM THE MATTRESS while you’re sleeping and are a STRUGGLE TO GET ON YOUR BED, even when you buy the right size. At CGK Unlimited, we’ve designed our light grey queen bed sheets with EXTRA DEEP POCKETS to easily fit mattresses 18”–24” deep, so it’s a CINCH TO PUT ON THE BED – even with a mattress topper! Our deep fitted light grey sheets queen also feature ELASTIC ALL THE WAY AROUND its edges to hug your mattress securely – no more balled up sheets! UNLIKE CHEAP LIGHT GREY QUEEN SIZE SHEETS THAT ARE SO THIN you can see right through them, our fitted sheet queen is made of premium quality, DOUBLE BRUSHED FABRIC that’s designed to last. Our machine-washable light grey queen fitted sheets deep pocket are specially treated to RESIST TEARING, SHRINQUEEN, WRINKLING, STAINING AND FADING – so you can wash without the worry. MANY FITTED LIGHT GREY QUEEN SHEET BRANDS TOUT THE SOFTNESS of their bedsheets, only to feel ROUGH AND STARCHY against the skin. At CGK Unlimited, we hand-select our SUPER SOFT deep pocket fitted sheet to ensure premium quality and downy softness that will only grow softer and feel more LUXURIOUS with every wash. SINK INTO SILKY SOFT LUXURY. Not only is our deep pocket split queen fitted sheet only designed for a RELAXING, RESTORATIVE night’s rest, you can sleep soundly knowing your light grey split queen sheet wasn’t treated with harsh, harmful chemicals that leave a strong odor, our queen bedding mad"
B089QFQ2W4,"Modoker Convertible Garment Bag with Toiletry Bag, Carry On Garment Duffel Bag for Men Women Travel, Multi-Function Suit Bag 2 in 1 Hanging Suitcase, Black",Modoker,"Clothing, Shoes & Jewelry",Luggage & Travel Gear,2024,7430,69.99,4.5,true,"Modoker Pack Your World - Make Your Trip More Fashion, More Convenience. Previous page About Modoker ： Founded in 1993 Providing Fashion Trends and Quality Bags Enjoy Modoker Bag, Enjoy Life Get Modoker Bag &amp; Backpack Now Visit the Store Professional Design Team Each Bag is Designed with a Balance of Style and Practicality in Mind Enjoy Modoker Bag, Enjoy Life 7*24H Customer Support Modoker service team is alway there for you. Realiable Warehouse With Save and Efficient Management System, Every Bag Will Be Delivered to You in Well Package. Know More Modoker Bag&amp;Backpack Visit the Store Next page"
B0CXSFX685,"Silent Basketball,Silent Basketball Dribbling Indoor,2024Foam Basketball Silent 7-24cm/9.44in Dunk Basketball Indoor Training,Silent Swish Basketball(Adult Basketball)",Generic,Sports & Outdoors,Sports,2024,9,20.99,3.6,true,"Features: soft and quiet. Advanced physical foaming technology improves appearance, elasticity, and mute effect. Great for indoor entertaining! Lightweight but durable, it's perfect for indoor play, kids can easily play and pass, and you don't have to worry about anyone getting hurt! This soft foam ball makes almost no sound when hitting the backboard, hoop, or the ground/wall. So it won't bother your neighbors like the hard rubber basketball that comes with the hoop. Name: Silent Basketball Material:Foam Size： Medium: 24cm/9.4in (approx.) Product Color:Blue/Orange Packing List:1PCS * Silent basketball 1pc basketball mesh bag [Attention!!]: Vacuum compression packaging. Please leave it for two days to restore its original state when opening the box. Please be careful not to place an order if you mind. Notes: 1. Due to the light and screen difference, the item's color may be slightly different from the pictures. 2. Please allow slight dimension difference due to different manual measurement. 3. If you have any questions or have problems with the products you received, please contact us in time."
B005NYXT60,"POWERTEC 6 Inch Jointer Blades for Delta 37-190 37-195 37-205 37-220 37-275X, JET JJ-6CS Jointer, Replacement for Delta 37-658, JET 708457K Jointer Knives, Set of 3 (14803)",POWERTEC,Tools & Home Improvement,Power & Hand Tools,2009,330,1.59,4.5,true,"Product Description Introducing the 6 Inch Jointer Planer Knives (3pcs) Set by POWERTEC.These woodworking cutting tools are intended to serve as premium replacement blade knives for your jointer machine. Each blade possesses impressively sharp single cutting edge that produces high precision cutting action for a variety of workshop applications.Premium BuildDesigned with a M2 high speed steel construction that offers a combination of durability, along with wear and heat resistance. These HSS blades allow you to cut at higher speeds when compared to traditional alloys. This not only improves your efficiency and workflow, but your cutting capabilities as well. They also come equipped with machined locator (mounting) holes that help you safely align the knives to the jointer cutting head with minimum effort. Suitable for a professional or hobbyist.Compatible WithDelta: 37-658, 37-190, 37-195, 37-205, 37-220, 37-275XJET: 708457K, JJ-6CSSpecificationsMaterial: High Speed SteelLength: 6-1/16"" (154 mm)Width: 11/16"" (16.5 mm)Thickness: 1/8"" (2.7 mm)POWERTEC is a leading manufacturer of high quality woodworking tools and accessories, machines, and an assortment of OEM replacement parts. We are committed to exceeding expectations, while bringing the latest innovations, technology, and product development to the industry. From the Manufacturer POWERTEC High Speed Steel (HSS) Knives are made of premium High Speed Steel (HSS) with performance that meets or exceeds OEM product. The manufac"
B008PKV0TM,"TSI Supercool 16532 Radiator Dye, 1 oz (Single Application)",TSI Supercool,Automotive,Tools & Equipment,2012,85,7.33,4.5,true,"TSI Supercool 16532 Radiator Dye - 1-Ounce - Single Application is a Synthetic U/V Leak Detection Dye that is engineered to quickly find cooling system leaks. It is detectable with any U/V light. It is conveniently designed for easy measuring, use 1-Ounce per vehicle."
B072JN1K8G,"ePackageSupply, 5 Gallon White Plastic Bucket Only - Durable 90 Mil All Purpose Pail - Food Grade Buckets NO LIDS Included - Contains No BPA Plastic - Recyclable - 1 Pack Buckets ONLY",ePackageSupply,Health & Household,Household Supplies,2017,167,7.74,4.6,true,"ALL PURPOSE AND REUSABLE These buckets can be used for liquids and solids, including grain, paint, yard supplies, or other items in your restaurants, studios, job sites, or home. HEAVY DUTY PAIL The 5 Gallon Bucket is made with high-quality BPA-free plastic. It is 90 mils thick to hold a variety of substances, including animal food, liquids, tools, paint, or any other substances. FOOD GRADE STORAGE Our containers provide the perfect storage space and are free from harmful chemicals, making it the best way to keep food clean and fresh! This food bucket's efficiency and minimalist design make it a must-have for every food enthusiast. EASY GRIP HANDLE Made with pure metal handles with a plastic molded grip handle to stay strong for heavy loads. Suitable for transferring heavy loads."
B07D37V3PQ,Scubapro Tropic Glove 1.5 mm,Scubapro,Sports & Outdoors,Sports,2018,203,39.99,4.2,true,"Protect your hands from cold waters and sharp barnacles with this pair of Tropic diving gloves, featuring a 1.5mm neoprene back for comfort and warmth. Great for diving and snorkeling, the glove's Amara faux leather fabric layer on the palm protects against infection-prone cuts when grasping barnacle-encrusted dive ladders in tropical waters. Other features include reinforced fingertips for increased durability and a non-slip grip and an adjustable Velcro wrist seal to ensure a snug fit. Super-comfortable and stretchy, SCUBAPRO's X-Foam neoprene formula is petroleum free and complies with strict P.A.H. (Polycyclic Aromatic Hydrocarbons) test requirements. Available in colors to match SCUBPARO’s UPF collection of rash guards and leggings, it's backed by a manufacturer's limited 1-year warranty. Driven to constantly innovate and improve the diving experience, SCUBAPRO builds flawless equipment for the work, sport, and lifestyle of people whose passion is found below the surface."
